tf,cond,seed,metric,delta,n,family
ets1,relaxed,1,mae,0.016452691990595597,130,rigid
ets1,relaxed,2,pearsonr,-0.05291337877754699,130,rigid
ets1,relaxed,2,spearmanr,-0.032102920759774924,130,rigid
ets1,relaxed,2,auroc,-0.0397262213683406,130,rigid
ets1,relaxed,2,ic_weighted_pcc,-0.029670351600462413,130,rigid
ets1,relaxed,2,ic_corr,-0.08637969634991347,130,rigid
ets1,relaxed,2,mae,0.08778105974197388,130,rigid
ets1,relaxed,3,pearsonr,-0.0029596723475032935,130,rigid
ets1,relaxed,3,spearmanr,0.005782439078048605,130,rigid
ets1,relaxed,3,auroc,0.012605933420286167,130,rigid
ets1,relaxed,3,ic_weighted_pcc,-0.009778559119564857,130,rigid
ets1,relaxed,3,ic_corr,0.008482118752471485,130,rigid
ets1,relaxed,3,mae,-0.002095283567905426,130,rigid
ets1,relaxed,4,pearsonr,-0.058917969330610755,130,rigid
ets1,relaxed,4,spearmanr,-0.056807428658038894,130,rigid
ets1,relaxed,4,auroc,-0.03801481678954943,130,rigid
ets1,relaxed,4,ic_weighted_pcc,-0.05337075392527028,130,rigid
ets1,relaxed,4,ic_corr,-0.060009381074200376,130,rigid
ets1,relaxed,4,mae,0.07077350937403165,130,rigid
ets1,relaxed,5,pearsonr,0.021585581668926677,130,rigid
ets1,relaxed,5,spearmanr,0.021779463948928473,130,rigid
ets1,relaxed,5,auroc,0.014909865855387278,130,rigid
ets1,relaxed,5,ic_weighted_pcc,0.006119733954381153,130,rigid
ets1,relaxed,5,ic_corr,0.021297723750034275,130,rigid
ets1,relaxed,5,mae,-0.008568171698313493,130,rigid
foxa,frozen,1,pearsonr,0.02774684255299009,130,rigid
foxa,frozen,1,spearmanr,0.0405076188795473,130,rigid
foxa,frozen,1,auroc,-0.004044681171054451,130,rigid
foxa,frozen,1,ic_weighted_pcc,0.005335454128491478,130,rigid
foxa,frozen,1,ic_corr,-0.05613783485704478,130,rigid
foxa,frozen,1,mae,0.005103952838824345,130,rigid
foxa,frozen,2,pearsonr,-0.043702328803341864,130,rigid
foxa,frozen,2,spearmanr,-0.07070776052694928,130,rigid
foxa,frozen,2,auroc,-0.018609924012104793,130,rigid
foxa,frozen,2,ic_weighted_pcc,-0.03352630957092351,130,rigid
foxa,frozen,2,ic_corr,-0.11122091207716867,130,rigid
foxa,frozen,2,mae,0.05535933673381806,130,rigid
foxa,frozen,3,pearsonr,0.02866969325167532,130,rigid
foxa,frozen,3,spearmanr,0.025119337627987157,130,rigid
foxa,frozen,3,auroc,0.005483763302362138,130,rigid
foxa,frozen,3,ic_weighted_pcc,0.012067125288577346,130,rigid
foxa,frozen,3,ic_corr,-0.04954934986456202,130,rigid
foxa,frozen,3,mae,-0.014302771366559542,130,rigid
foxa,frozen,4,pearsonr,-0.022857320911132288,130,rigid
foxa,frozen,4,spearmanr,-0.015962524112697368,130,rigid
foxa,frozen,4,auroc,-0.021935284470026167,130,rigid
foxa,frozen,4,ic_weighted_pcc,-0.003397011360911224,130,rigid
foxa,frozen,4,ic_corr,-0.02696468095851503,130,rigid
foxa,frozen,4,mae,0.023475802632478567,130,rigid
foxa,frozen,5,pearsonr,-0.0102073574646199,130,rigid
foxa,frozen,5,spearmanr,-0.011334955351056018,130,rigid
foxa,frozen,5,auroc,-0.005927210557161868,130,rigid
foxa,frozen,5,ic_weighted_pcc,-0.01932820196410744,130,rigid
foxa,frozen,5,ic_corr,0.011326937757537327,130,rigid
foxa,frozen,5,mae,0.01200744268985895,130,rigid
foxa,relaxed,1,pearsonr,-0.04834361258455559,130,rigid
foxa,relaxed,1,spearmanr,-0.056498824309275296,130,rigid
foxa,relaxed,1,auroc,-0.028825091894947266,130,rigid
foxa,relaxed,1,ic_weighted_pcc,-0.03543675319673309,130,rigid
foxa,relaxed,1,ic_corr,-0.06842569545283803,130,rigid
foxa,relaxed,1,mae,0.06337890143577869,130,rigid
foxa,relaxed,2,pearsonr,-0.033725493359456855,130,rigid
foxa,relaxed,2,spearmanr,-0.03809938360141731,130,rigid
foxa,relaxed,2,auroc,-0.022306033564595377,130,rigid
foxa,relaxed,2,ic_weighted_pcc,-0.015149084686489548,130,rigid
foxa,relaxed,2,ic_corr,-0.00010126357016162288,130,rigid
foxa,relaxed,2,mae,0.023166918983826272,130,rigid
foxa,relaxed,3,pearsonr,-0.029084235775565855,130,rigid
foxa,relaxed,3,spearmanr,-0.04099160813879774,130,rigid
foxa,relaxed,3,auroc,-0.015002387613122186,130,rigid
