tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
dux4,relaxed,060,50.0819,62.225,14.992,6.3344,11.3433,11.6288,-0.206,-1.4222,-0.1475,6.2871,11.2623
dux4,relaxed,061,27.4909,34.9398,43.125,7.9267,12.0317,4.256,-14.6783,-0.8679,0.4012,5.4774,12.3539
dux4,relaxed,062,32.4128,22.088,38.4054,8.0624,11.7142,7.5642,17.0431,-0.3293,-0.7786,7.5473,12.6526
dux4,relaxed,063,20.6106,17.899,12.6511,6.7213,13.1087,7.8847,-0.8676,-0.714,0.1426,6.96,12.3771
dux4,relaxed,064,14.448,10.8729,2.5227,5.5136,11.8128,-5.2079,13.1838,0.4848,0.4644,5.4133,11.5367
dux4,relaxed,065,48.4832,47.5644,37.4613,7.3757,13.3302,9.6961,1.7288,-0.5801,0.2346,6.1322,12.72
dux4,relaxed,067,48.7544,65.5429,56.5528,8.1603,13.3218,4.5434,-5.189,0.0436,0.5941,7.1418,13.5615
dux4,relaxed,068,47.7193,47.9741,11.5195,5.9593,12.0468,6.6035,2.3948,-1.2694,-0.0533,5.992,12.1714
dux4,relaxed,069,30.9188,39.3988,34.7444,7.6483,12.3917,7.934,4.276,-0.2855,-1.2377,6.5676,11.26
dux4,relaxed,071,67.4838,117.4249,52.1303,6.5442,10.3967,8.1588,-1.5005,-0.1213,-0.0978,6.597,10.6075
dux4,relaxed,072,26.781,28.6814,18.7505,12.2723,10.8097,12.0203,2.3945,-0.855,-0.7663,11.5638,9.3471
dux4,relaxed,073,148.8724,113.1583,50.905,7.2734,11.0273,9.1974,11.7877,-1.0663,0.3368,5.7178,12.4167
dux4,relaxed,074,34.5453,20.1677,56.7523,6.1658,14.0561,6.0138,4.5365,-0.5592,-0.4819,6.9524,13.08
dux4,relaxed,075,47.2969,57.52,26.4975,7.6431,11.3022,9.7273,2.188,-1.442,-0.0224,7.7943,10.7
dux4,relaxed,076,7.0841,10.1496,33.3684,7.6994,13.6133,6.6208,-8.8667,-1.0681,1.1108,7.9282,11.26
dux4,relaxed,077,16.1563,24.5893,7.6862,6.2715,11.1129,14.1154,6.8777,-0.1974,0.0522,6.2731,10.85
dux4,relaxed,078,16.1314,18.0023,52.1742,5.3115,13.1336,3.9988,9.9776,-0.605,0.957,5.328,11.8654
dux4,relaxed,080,46.3594,49.1031,42.0844,6.6211,11.6989,8.3591,-2.7795,-0.9683,-0.815,6.9283,14.2894
dux4,relaxed,081,2.0759,15.5967,43.2509,8.4451,11.3184,15.9707,1.127,-0.9702,-0.0409,6.3078,10.4725
dux4,relaxed,082,41.8448,43.4823,25.9072,5.2161,12.8318,11.2374,-0.1824,-0.7866,-0.2218,5.3375,13.8377
