pilot,source,pairwise_ca_rmsd
ets1,bioemu,1.4491
ets1,bioemu,1.4333
ets1,bioemu,1.54
ets1,bioemu,1.4115
ets1,bioemu,1.3853
ets1,bioemu,0.8981
ets1,bioemu,1.2014
ets1,bioemu,1.2104
ets1,bioemu,1.2733
ets1,bioemu,1.1852
ets1,bioemu,1.3176
ets1,bioemu,1.0197
ets1,bioemu,1.9164
ets1,bioemu,1.4752
ets1,bioemu,1.4188
ets1,bioemu,2.0442
ets1,bioemu,1.0308
ets1,bioemu,1.5243
ets1,bioemu,1.5316
ets1,bioemu,1.3388
ets1,bioemu,1.5737
ets1,bioemu,1.7668
ets1,bioemu,1.0399
ets1,bioemu,1.1368
ets1,bioemu,1.6039
ets1,bioemu,1.101
ets1,bioemu,3.2388
ets1,bioemu,1.2343
ets1,bioemu,2.0359
ets1,bioemu,1.2641
ets1,bioemu,1.4162
ets1,bioemu,2.7152
ets1,bioemu,1.5311
ets1,bioemu,1.3064
ets1,bioemu,1.2794
ets1,bioemu,1.5349
ets1,bioemu,1.4109
ets1,bioemu,1.6196
ets1,bioemu,1.8289
ets1,bioemu,1.6729
ets1,bioemu,1.319
ets1,bioemu,1.4214
ets1,bioemu,1.3684
ets1,bioemu,1.561
ets1,bioemu,1.2638
ets1,bioemu,1.2816
ets1,bioemu,1.1336
ets1,bioemu,1.8121
ets1,bioemu,1.7381
ets1,bioemu,1.5411
ets1,bioemu,1.2661
ets1,bioemu,1.5261
ets1,bioemu,1.7048
ets1,bioemu,1.8503
ets1,bioemu,1.3041
ets1,bioemu,1.3141
ets1,bioemu,1.2296
ets1,bioemu,1.2102
ets1,bioemu,1.6458
ets1,bioemu,1.7873
ets1,bioemu,1.3339
ets1,bioemu,1.4273
ets1,bioemu,1.0162
ets1,bioemu,1.3135
ets1,bioemu,1.1853
ets1,bioemu,1.3676
ets1,bioemu,1.2527
ets1,bioemu,1.1365
ets1,bioemu,2.3511
ets1,bioemu,1.1782
ets1,bioemu,1.1572
ets1,bioemu,1.9589
ets1,bioemu,1.0586
ets1,bioemu,1.4959
ets1,bioemu,1.248
ets1,bioemu,1.301
ets1,bioemu,1.0999
ets1,bioemu,1.4445
ets1,bioemu,1.1854
ets1,bioemu,1.4366
ets1,bioemu,1.1569
ets1,bioemu,1.1984
ets1,bioemu,1.1477
ets1,bioemu,1.5323
ets1,bioemu,1.1795
ets1,bioemu,1.6344
ets1,bioemu,1.2855
ets1,bioemu,1.4535
ets1,bioemu,1.5543
ets1,bioemu,1.1269
ets1,bioemu,1.3206
ets1,bioemu,1.1605
ets1,bioemu,1.5355
ets1,bioemu,1.7287
ets1,bioemu,1.3563
ets1,bioemu,1.3602
ets1,bioemu,1.1575
ets1,bioemu,1.1593
